YEAR,MN,DRF01,DRF02,DRF03,DRF04,DRF05,DRF06,DRF07,DRF08,DRF09,DRF10,DRF11,DRF12,DRF13,DRF14,DRF15,DRF16,DRF17,DRF18,DRF19,DRF20,DRF21,DRF22,DRF23,DRF24,DRF25,DRF26,DRF27,DRF28,DRF29,DRF30,DRF31
2013,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,5.2,12.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,12.3,0.0,0.0,15.7,0.0,13.2,0.0,0.0,0.0
2014,4,0.0,0.0,3.5,4.2,2.1,5.0,6.1,3.5,17.3,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,8.0,5.0,0.0,
2014,5,0.0,2.5,15.2,25.0,16.5,0.0,30.8,65.2,100.7,128.5,20.3,0.0,17.2,24.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,2.7,25.6,2.5,0.0,5.2,60.5,0.0
2014,6,0.0,0.0,10.5,0.0,5.1,0.0,30.5,25.7,18.1,98.4,78.5,0.0,20.7,0.0,0.0,45.7,88.9,34.8,69.2,6.7,0.0,54.1,110.8,5.2,0.0,8.7,7.1,7.3,2.5,0.0,
2014,7,93.7,55.2,18.2,12.3,9.7,8.4,13.4,17.1,0.0,50.2,0.0,60.8,6.1,97.6,63.5,5.2,0.0,0.0,16.7,0.0,5.2,2.9,79.7,0.0,120.7,0.0,15.2,37.4,35.0,0.0,0.0
2014,8,5.3,10.1,25.2,25.9,6.2,0.0,0.0,0.0,5.7,0.0,5.0,0.0,3.7,6.2,13.5,3.2,62.3,3.7,0.0,6.5,7.2,13.0,0.0,0.0,13.2,0.0,3.2,0.0,0.0,0.0,0.0
2014,9,0.0,0.0,0.0,0.0,5.2,12.5,17.2,98.1,5.7,3.5,0.0,0.0,0.0,6.9,0.0,27.8,0.0,0.0,65.7,40.5,19.8,11.0,61.3,64.8,0.0,35.1,53.1,3.4,0.0,0.0,
2014,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,4.8,0.0,0.0,54.7,111.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015,3,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,4,15.8,32.5,70.2,93.5,98.3,15.1,0.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,41.5,53.8,59.2,52.1,20.8,0.0,0.0,3.7,0.0,0.0,80.9,
2015,5,72.5,67.8,20.5,15.7,0.0,0.0,0.0,0.0,5.2,25.0,20.1,2.3,0.0,5.2,10.2,0.0,27.5,13.2,0.0,0.0,0.0,25.7,7.5,17.2,25.6,2.3,7.5,70.8,10.2,3.2,2.1
2015,6,7.2,10.7,0.0,0.0,0.0,0.0,0.0,0.0,22.5,75.0,80.7,0.0,3.5,0.0,0.0,25.7,0.0,23.1,0.0,105.5,0.0,75.9,27.5,5.7,0.0,25.5,7.5,1.5,45.7,0.0,
2015,7,7.2,0.0,1.3,1.4,15.1,0.0,0.0,0.0,7.5,0.0,0.0,27.5,40.7,0.0,5.6,10.5,17.2,95.2,7.1,0.0,60.5,3.5,14.0,3.2,17.7,0.0,0.0,0.0,0.0,0.0,3.0
2015,8,15.7,7.9,0.0,22.7,20.3,3.5,70.5,32.2,65.2,47.4,52.1,68.5,37.6,17.4,5.2,30.0,10.7,0.0,6.4,26.2,10.2,0.0,0.0,7.5,55.7,67.8,75.3,0.0,1.2,17.5,5.6
2015,9,42.3,0.0,52.0,18.9,0.0,0.0,67.2,0.0,0.0,0.0,42.3,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,10.7,25.9,0.0,18.2,0.0,5.0,0.0,0.0,0.0,0.0,
2015,10,0.0,0.0,0.0,0.0,0.0,0.0,7.0,35.6,3.5,17.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,11,5.2,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2015,12,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,7.5,35.2,0.0,0.0,0.0,0.0,,
2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.6,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,20.7,0.0,2.3,0.0,0.0,0.0,0.0,7.9,0.0,0.0,
2016,4,4.2,0.0,0.0,110.5,150.7,135.7,7.5,0.0,24.8,10.7,18.2,0.0,0.0,25.0,17.2,70.0,56.3,7.2,0.0,80.9,5.8,100.7,90.7,50.2,85.2,25.7,8.2,72.5,43.7,0.0,
2016,5,5.0,0.0,12.5,35.2,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,50.2,60.2,85.8,25.3,313.7,116.1,0.0,25.7,121.9,39.8,0.0,53.7,0.0,47.6,13.5,27.8,9.2,2.2
2016,6,0.0,0.0,0.0,0.0,0.0,8.4,130.0,47.5,67.6,61.3,30.7,0.0,32.0,0.0,0.0,5.0,61.0,16.7,8.2,68.7,0.0,5.2,8.2,0.0,7.3,0.0,56.2,35.2,2.0,5.8,
2016,7,0.0,88.2,56.5,35.7,66.6,0.0,0.0,3.7,4.2,70.5,4.7,5.0,0.0,4.2,3.7,47.7,2.2,14.2,0.0,13.7,17.5,5.3,5.3,10.2,50.2,15.0,0.0,7.1,16.2,50.7,0.0
2016,8,0.0,0.0,0.0,0.0,15.0,21.7,6.5,7.2,12.3,2.5,57.8,0.0,3.0,0.0,0.0,20.7,0.0,0.0,0.0,0.0,13.5,27.3,0.0,0.0,0.0,10.0,15.2,0.0,0.0,5.0,60.7
2016,9,57.6,0.0,6.2,0.0,20.0,131.9,10.5,5.2,7.1,0.0,24.2,20.0,17.2,35.0,0.0,0.0,0.0,21.5,16.0,13.7,10.0,50.7,35.3,65.7,0.0,17.8,0.0,0.0,35.7,11.2,
2016,10,25.9,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.7,10.5,20.2,17.4,20.5,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,26.7,0.0,0.0
2016,11,0.0,0.0,0.0,20.5,10.5,51.5,55.3,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
